document_id,source_group,language,category,cluster_id,relative_path,actual_format,char_count,sha256,review_status
doc_43b6f66ccb5ac5b1,cn,zh,other,near_0414,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/酌情增加【纺织业相关资料】/纺织企业安全生产标准化评定标准).doc,doc,140445,5211199f8c044965a4ff1317ecdbedf051c283b20607e64a47859f6a820cb899,pending
doc_50ad022442e2dad4,cn,zh,other,near_0507,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/安全生产应急预案/最新整理预案（各行业都有）/饲料厂春节应急预案.docx,docx,4267,9a53b9ce8f73f50198dc4933867ffc2347d0a9f88443918de60398d8ee34bbe8,pilot_accepted
doc_64d2cad23639e319,cn,zh,other,near_0618,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/绩效评定与改进标准/安全生产标准化评定标准考评细则.doc,doc,148137,5d007c7830fde0446e6748db5d604e7b867162749fd0cbb19205da4adf5c2003,pending
doc_9010df321df12412,cn,zh,other,near_0853,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/1.各行业应急预案模板/工厂应急预案/发电厂应急预案汇编【550页】.doc,doc,232013,8877781fc935e94fee6e6caa73406eaf6e6757ce142759fd104a7ec93826a229,pending
doc_f1f050c16e6c66a8,cn,zh,other,near_1376,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/安全教育培训/安全生产法律法规汇编.doc,doc,841932,fab73e33082114cac2c3116dfbd63b32381627e2ed4409d629d1a5c227e09bff,pending
doc_0496081523070e2e,cn,zh,railway,near_0029,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/安全生产应急预案/最新整理预案（各行业都有）/危险化学品铁路运输事故应急预案.doc,doc,4493,25a2c0f48d9ac4cb987cc1c8352137f453846deeff933eec08f8c8a2013d1756,pending
doc_0cdca4bc35ff9937,cn,zh,railway,near_0083,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/安全生产应急预案/最新整理预案（各行业都有）/铁路危险品运输的应急预案（精选6篇）.docx,docx,17234,c87244318c8c37cadfb963502b7da4efb878d62839066bb4b2e796652c06dd3c,pilot_accepted
doc_539ea33206608b72,cn,zh,railway,near_0524,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/1.各行业应急预案模板/消防应急预案/青岛地铁施工现场消防应急预案【15页】.doc,doc,9611,5d7e6e1187307a789215fd4be626f401a1c1b9bf2d3c0f00a96de898782fbcaf,pending
doc_8ebb5e1211fb183a,cn,zh,railway,near_0846,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/安全生产应急预案/最新整理预案（各行业都有）/铁路运输事故应急预案.docx,docx,5980,ba3b00658e1de83f16bfed64757d3c71c1ff28e2c10a27281ab524ce6fad5574,pilot_accepted
doc_1294bf1ca8a744d5,raib,en,collision,near_0119,raib/R052026_260507_Pewsey.pdf,pdf,146460,c00ebfd3d831113259f0cf017c5a373f9ef5f822c2d2aa412019f68b6b8903c6,pending
doc_1ff6adebd86d2774,raib,en,collision,near_0194,raib/R252006_070108_Part_3_Adhesion_Review.pdf,pdf,239594,94362ee2f7a5680a5996c43e8d789fa7c4614aa35d0959a54918bd94f4f2cec3,pending
doc_2ed6823754eb0ace,raib,en,collision,near_0282,raib/R112023_231023_South_Wingfield.pdf,pdf,166948,21a50ad6555d7d0f62d819c6cebda91bec43f6b19baa8e3e9f062dde8cf3211f,pending
doc_3ded94af980c90b6,raib,en,collision,near_0380,raib/R182017_201022_Sandilands_v2.2.pdf,pdf,395990,af98a9a859edbbde3de3f08c77f47f3121bdf8146d52f45d890ecee0d2562b56,pending
doc_427de770de09db2b,raib,en,collision,near_0409,raib/R082026_260618_Talerddig.pdf,pdf,326279,ee0f5e50b48e70b263c44884b84395a7f2c330bb0352cea516caf59b9013cefb,pending
doc_5f6beabdb11fced8,raib,en,collision,near_0592,raib/R072017_170413_Track_workers.pdf,pdf,185541,2bad88a10c4107a7cd0592209699d15d968d91c0788669acbb6db67f2d194d70,pending
doc_74e76c23a25a66d9,raib,en,collision,near_0715,raib/R192018_181119_Waterloo.pdf,pdf,130098,1b20b08321f14c1cbca690769df554a98b662330a4284d2b0780cb92aadf8c34,pending
doc_b32b262e80b65e2c,raib,en,collision,near_1040,raib/R012025_250116_Stratford.pdf,pdf,83350,40350d2b9fa18fe4922249e891bf9e5ab5f6084b33f29cfb02faf5962fbe9a2c,pilot_accepted
