dataset,system,seed,epoch,step,loss,started_at_utc
ade,eae,42,1,275,0.00283,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,280,0.0196,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,285,0.00047,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,290,7e-05,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,295,0.01326,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,300,0.00093,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,305,0.00093,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,310,0.00598,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,315,0.00049,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,320,0.00064,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,325,0.01438,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,330,0.01544,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,335,0.00286,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,340,0.00027,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,345,0.0076,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,350,0.0493,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,355,0.00022,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,360,0.00129,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,365,0.0041,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,370,0.00192,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,375,0.00173,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,380,0.00013,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,385,3e-05,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,390,0.0005,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,395,0.01429,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,400,0.06542,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,405,0.0013,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,410,0.00272,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,415,0.00049,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,420,0.03298,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,425,0.03401,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,430,0.00035,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,435,0.00036,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,440,0.04126,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,445,0.00019,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,450,0.02161,2026-09-04T08:54:54.422954+00:00
